Locator2,CollectDate,Month,Depth,ParmName,Units,Value,Mdl
804,07-01-02,1,A,Alkalinity,mg CaCO3/L,38.6,0.2
804,02-01-01,1,A,Alkalinity,mg CaCO3/L,36.6,0.2
804,01-04-02,4,A,Alkalinity,mg CaCO3/L,40.8,0.2
804,08-10-02,10,A,Alkalinity,mg CaCO3/L,39.5,0.2
817,04-10-99,10,A,Alkalinity,mg CaCO3/L,38.4,0.2
826,04-10-99,10,A,Alkalinity,mg CaCO3/L,38.2,0.2
804,31-03-81,3,A,Alkalinity,mg CaCO3/L,35,
804,13-04-81,4,A,Alkalinity,mg CaCO3/L,33,
804,29-04-81,4,A,Alkalinity,mg CaCO3/L,38,
804,11-05-81,5,A,Alkalinity,mg CaCO3/L,37,
804,01-06-81,6,A,Alkalinity,mg CaCO3/L,35,
804,16-06-81,6,A,Alkalinity,mg CaCO3/L,35,
804,29-06-81,6,A,Alkalinity,mg CaCO3/L,35,
804,14-07-81,7,A,Alkalinity,mg CaCO3/L,34,
804,27-07-81,7,A,Alkalinity,mg CaCO3/L,35,
804,11-08-81,8,A,Alkalinity,mg CaCO3/L,36,
804,24-08-81,8,A,Alkalinity,mg CaCO3/L,36,
804,08-09-81,9,A,Alkalinity,mg CaCO3/L,34,
804,22-09-81,9,A,Alkalinity,mg CaCO3/L,34,
804,12-10-81,10,A,Alkalinity,mg CaCO3/L,34,
804,26-10-81,10,A,Alkalinity,mg CaCO3/L,33,
804,12-11-81,11,A,Alkalinity,mg CaCO3/L,34,
804,23-11-81,11,A,Alkalinity,mg CaCO3/L,34,
804,08-12-81,12,A,Alkalinity,mg CaCO3/L,32,
804,06-01-82,1,A,Alkalinity,mg CaCO3/L,33,
804,08-02-82,2,A,Alkalinity,mg CaCO3/L,33,
804,16-02-82,2,A,Alkalinity,mg CaCO3/L,35,
804,02-03-82,3,A,Alkalinity,mg CaCO3/L,30,
804,15-03-82,3,A,Alkalinity,mg CaCO3/L,31,
804,24-05-84,5,A,Alkalinity,mg CaCO3/L,33,
804,25-09-84,9,A,Alkalinity,mg CaCO3/L,34,
804,04-12-84,12,A,Alkalinity,mg CaCO3/L,30,
